titulo: Exploring a meaningful learning intervention in a CS1 course | Autor: João Marcelo Borovina Josko
titulo: Inspiring Interest in Computing using Music: A Case Study on Students Lacking Prior Music Education | Autor: Douglas Lusa Krug, Reuel J. Kulibaba, Denis A. Linzmeyer, Chrystalla Mouza, David C. Shepherd
titulo: Análise da Adoção de Pensamento Computacional no Contexto Escolar Brasileiro: Um Mapeamento Sistemático da Literatura | Autor: Éder Jacques Porfírio Farias, Paulo Roberto Lopes, Windson Viana de Carvalho, Emanuela Mesquita Porfírio
titulo: Promovendo a Sensibilização de Alunos do 9º Ano do Ensino Fundamental com as Habilidades do Pensamento Computacional (PC) por meio de HQs | Autor: Albert Rodrigues de Souza Catojo, Antonio Alexandre Lima, Maria Augusta Silveira Netto Nunes
titulo: Mapeamento das Relações entre o Pensamento Computacional e os Componentes Curriculares da Educação Básica Brasileira | Autor: Barbara S. Morais, Rozelma França, Taciana Pontual Falcão
titulo: Integração do ROS em uma plataforma robótica móvel de baixo custo para o ensino superior | Autor: Anderson Abner de S. Souza, Raul Benites Paradeda
titulo: Projeto e Avaliação de um Template de Worked Examples para o Ensino de Programação | Autor: Andre L. M. Miranda, Renato Garcia, Gabriel M. Lunardi, Ricardo Vilela, Pedro H. D. Vale, Williamson Silva
titulo: Protagonismo Estudantil na Adaptação das Leis da Robótica de Asimov - Experiência nos Anos Iniciais do Ensino Fundamental | Autor: Ivana Franciele Evaristo, Sílvia Amélia Bim, Kelly Dayane Aguiar, Henrique J. Polato Gomes
titulo: Ferramentas de apoio para a disciplina de Linguagens Formais e Autômatos: uma proposta de uso | Autor: Pedro Paiva, Maurício Souza, Ricardo Terra
titulo: Ação do Pensamento Computacional na Programação de Robôs | Autor: Mateus Oliveira Jung, Regina Barwaldt, Sergio da Costa Nunes, Alexandre Klug de Borba
titulo: Analisando a relação de conceitos de programação com o comportamento ”abuso do sistema” em programadores novatos | Autor: Hemilis J. B. Rocha, Evandro de B. Costa, Patricia C. de A. R. Tedesco
titulo: Perspectivas de estados afetivos para as disciplinas de programação: um mapeamento sistemático da literatura no Brasil | Autor: Talita de Paula Cypriano de Souza, Kamila Takayama Lyra, Patricia Augustin Jaques, Seiji Isotani
titulo: Análise das Respostas do ChatGPT em Relação ao Conteúdo de Programação para Iniciantes | Autor: Luiz C. Pereira Filho, Talita de P. C. de Souza, Luciano Bernardes de Paula
titulo: AnneBot: Um Chatbot na Formação de Docente para Auxiliar no Processo de Ensino e Aprendizagem do Pensamento Computacional | Autor: Adrianne Veras de Almeida, Adrielle Veras de Almeida, Fabíola Pantoja O. Araujo
titulo: Análise dos Cursos de Computação no Brasil: Ensino de Programação sob a perspectiva das Necessidades do Século XXI | Autor: Katyeudo Karlos de S. Oliveira, William S. de Deus, Gustavo Martins N. Avellar, Taciana Pontual Falcão, Ellen Francine Barbosa
titulo: Uma Proposta Desplugada para o Desenvolvimento do Pensamento Computacional na Educação Ambiental | Autor: Daiany Francisca Lara, Léo Manoel Lopes da Silva Garcia, José Valdeni de Lima, Raquel Salcedo Gomes
titulo: Screening Programming’s Reliability to Measure Predictive Programming Skills | Autor: Danilo Medeiros Dantas, Jucelio Soares dos Santos, Kézia de Vasconcelos Oliveira Dantas, Wilkerson L. Andrade, João Brunet, Monilly Ramos Araujo Melo
titulo: Variant Scape: um jogo para exercitar conceitos de introdução à lógica de programação | Autor: Lucas Araújo, Jeniffer Macena, Rafaela Melo, Marcela Pessoa, Fernanda Pires
titulo: Um Modelo de Avaliação do Nível de Aprendizagem do Pensamento Computacional Aderente à BNCC | Autor: Alberto A. C. Raiol, Carlos S. Portela, Isadora M. Santos, Josué Viana, Viviane Santos, Decíola Sousa
titulo: Hello World: abordando Questões sobre o Gênero Feminino em uma Disciplina de Introdução à Computação | Autor: Rachel C. D. Reis, Roberto Pereira, Fabiano Silva, Letícia M. Peres
titulo: GAME.INC: Desenvolvendo um Objeto de Aprendizagem Ludificado para Inclusão Desplugada | Autor: Albio de Souza Leite Júnior, Guilherme Ribeiro Rostas, Tauã Milech Cabreira
titulo: Proposal for a Game Design Document model for creating educational games to teach computational thinking | Autor: Allan Kássio Beckman Soares da Cruz, Carlos de Salles Soares Neto, Mario Meireles Teixeira, Pamela Torres Maia Beckman da Cruz, Kleydson Beckman Barbosa, Claudiny Priscila Lopes Brito
titulo: Apoio ao Desenvolvimento de Recursos de Ajuda - voltados para Usuários Professores - para Linguagens de Programação Visual baseadas em Blocos | Autor: Carmen Vera Scorsatto Brezolin, Claiton Marques Correa, Milene Selbach Silveira
titulo: Análise comparativa de vídeos do YouTube de canais de homens e mulheres na área de computação: uma investigação a partir dos comentários | Autor: Mateus Barros Macedo, Blenda Gabrielly Souza Morais, Lucas de Almeida Ribeiro, Newarney Torrezão da Costa, Thalia Santos de Santana, Cleon Pereira Junior
titulo: Featuring Layers of Abstraction as a Modeling Resource in an Educational Game-Based Learning Platform | Autor: Braz Araujo da Silva Junior, Júlia Veiga da Silva, Simone André da Costa Cavalheiro, Luciana Foss
titulo: Modelo Pedagógico LearnT para o desenvolvimento da Autorregulação da Aprendizagem e do Pensamento Computacional em Cursos de Licenciatura | Autor: Aline Marcelino dos S. S. Baptista
titulo: Narrativas e Jogos Digitais: Identificando os Pilares do Pensamento Computacional | Autor: Giovanna Lima, Jose Carlos Duarte, Fernanda Pires, Marcela Pessoa
